standard license,use,distribution,derivatives,commercial,attribution,share alike,notification,license
false,true,false,false,?,true,?,true,"Charles R. Conner Museum (CRCM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CRCM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CRCM notified. The CRCM and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Birds of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Clare Biological Records Centre dataset dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Amphibians and reptiles of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,false,false,?,true,?,true,"UTEP data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the University of Texas at El Paso. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and UTEP notified. The University of Texas at El Paso or its staff are not responsible for damages, injury or loss due to the use of these data."
false,?,?,?,?,?,?,?,none
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Seabird 2000 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
true,true,true,true,true,false,false,false,cc0
false,true,false,false,false,true,?,true,"Data records from the Biodiversity Research and Teaching Collections may be used by individual researchers or research groups for non-commercial purposes, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the section Curator of the Biodiversity Research and Teaching Collections. If any of these records are used in analysis or report, the provenance of the original data must be acknowledged, any resulting publication or report sent to the BRTC Natural History Library. The BRTC does not guarantee the accuracy of these data. Individual researchers should verify individual records by making the direct reference to corresponding museum specimens. The Biodiversity Research and Teaching Collections and its staff are not responsible for damages, injury, or loss due to the use of these data."
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Moths Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
true,true,true,true,false,true,false,false,http://creativecommons.org/licenses/by-nc/3.0/
,,,,,,,,Copyright © 2012 The Field Museum of Natural HistoryFull details may be found at http://fieldmuseum.org/about/copyright-information
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Pine Marten Survey of Ireland 2005 - 2007 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,false,false,?,true,?,true,"LACM data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the LACM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the LACM notified. The Natural History Museum of Los Angeles County or its staff is not responsible for damages, injury or loss due to the use of these data."
false,true,false,true,?,true,?,true,"Data records from the Division of Ichthyology of the University of Kansas Biodiversity Institute (KUBI) are provided for the use of individual researchers or research groups. If any of these records is to be used in an analysis or report, the provenance of the original data must be acknowledged and the curatorial staff of the Division of Ichthyology notified. The data must not be redistributed in whole or in part without explicit written permission of a curator or collection manager from the Division of Ichthyology. A copy of any publication in which the data appear must be sent to the Division of Ichthyology Library. Individual researchers and their institutions are liable for the proper use of data from the KUBI. The accuracy of the data associated with these specimen records is not guaranteed by the KUBI."
false,true,false,false,?,true,?,true,"John Wesley Powell-Dale Birkenholz Natural History Collections (ISU) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the John Wesley Powell-Dale Birkenholz Natural History Collections. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the John Wesley Powell-Dale Birkenholz Natural History Collections notified. The John Wesley Powell-Dale Birkenholz Natural History Collections and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"Staatliches Museum für Naturkunde Stuttgart (SMNS) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the SMNS. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the SMNS notified. The SMNS and its staff are not responsible for damages, injury or loss due to the use of these data."
,,,,,,,,http://www.zoo.cam.ac.uk/museum/collections.archives/academic.use/
false,true,false,false,?,true,?,true,"Milwaukee Public Museum (MPM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the MPM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the SMNS notified. The MPM and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"University of Nevada, Reno (UNR) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the UNR. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the UNR notified. The UNR and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"WFVZ data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the WFVZ. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the WFVZ notified. The Western Foundation of Vertebrate Zoology and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"Delaware Museum of Natural History (DMNH) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the DMNH. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the DMNH notified. The DMNH and its staff are not responsible for damages, injury or loss due to the use of these data."
,,,,,,,,"EDAPHOBASE is a product of Senckenberg Museum for Natural History Görlitz (SMNG), State Museum for Natural Histoty Karlsruhe (SMNK) and ECT Oekotoxikologie GmbH Flörsheim am Main (BMBF support code 01LI0901A)."
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Atlas of Mammals in Ireland 2010-2015 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,false,false,?,?,?,?,?,Terms of use NHMM data: All rights on these data belong to the Natural History Museum Maastricht. Please contact the NHMM principal curator before secondary usage of data in electronic or printed form.
true,true,true,true,true,true,false,false,Tall Timbers data is governed by the Creative Commons Attribution 3.0 license (http://creativecommons.org/licenses/by/3.0/legalcode). Any use of data or images must be attributed to Tall Timbers Research Station and Land Conservancy.
true,true,true,true,false,true,true,false,by-nc-sa
false,true,false,false,?,true,?,true,"New Mexico Museum of Natural History and Science (NMMNH) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the NMMNH. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged,the NMMNH notified and a copy of the publication sent to the NMMNH. The NMMNH and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,false,true,?,true,"The University of Texas at Arlington makes its records available for scholarly research. These records may not be repackaged, resold, or redistributed in any form without the written consent of the director or curator of the collection. Use of these records in written or oral reports must acknowledge UTA as the source and UTA must be notified of such use. The University of Texas at Arlington and its staff are not responsible for damages, injury, or loss due to the use of these records."
false,?,?,?,?,?,?,?,Copyright of the Corvids Literature Database: Gabriele Droege.
,,,,,,,,"G.B. Pant Institute of Himalayan Environment & Development, Kosi - Katarmal, Almora - 263 643, Uttarakhand, India"
,,,,,,,,"Herbarium Section, Wildlife Institute of India, Post Box No. 18, Chandrabani, Dehradun - 248 001, Uttarakhand, India."
false,?,?,?,?,?,?,?,Copyright © 2012 The President and Fellows of Harvard College
