,,,,,,,,1,"A copy of final article paper, book, etc to be forwarded to data provider.",,,,,,,,,"A copy of final article paper, book, etc to be forwarded to data provider."
,,,,,,,,2,"Carnegie Museum of Natural History (CM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CM notified. The CM and its staff are not responsible for damages, injury or loss due to the use of these data.",false,true,false,false,?,true,?,true,"Carnegie Museum of Natural History (CM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CM notified. The CM and its staff are not responsible for damages, injury or loss due to the use of these data."
,,,,,,,,2,"Charles R. Conner Museum (CRCM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CRCM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CRCM notified. The CRCM and its staff are not responsible for damages, injury or loss due to the use of these data.",false,true,false,false,?,true,?,true,"Charles R. Conner Museum (CRCM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CRCM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CRCM notified. The CRCM and its staff are not responsible for damages, injury or loss due to the use of these data."
,,,,,,,,1,"Coelenterata collection of National Natural History Museum Naturalis, published by GBIFPlease contact Dr. B. Hoeksema (hoeksema@naturalis.nl) before usage of data in electronic files or printed publications",,,,,,,,,"Coelenterata collection of National Natural History Museum Naturalis, published by GBIFPlease contact Dr. B. Hoeksema (hoeksema@naturalis.nl) before usage of data in electronic files or printed publications"
,,,,,,,,1,"Collection specimens are the property of the respective institutions where they are deposited. All data associated with those particular specimens are therefore also property of those institutions. When information of a particular specimen is used, reference should be made to the herbarium where it is housed, by indicating the institution's name or acronym.",,,,,,,,,"Collection specimens are the property of the respective institutions where they are deposited. All data associated with those particular specimens are therefore also property of those institutions. When information of a particular specimen is used, reference should be made to the herbarium where it is housed, by indicating the institution's name or acronym."
,,,,,,,,2,"Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note:Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page athttp://naturemap.dec.wa.gov.au/default.aspx",,,,,,,,,"Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note:Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page athttp://naturemap.dec.wa.gov.au/default.aspx"
,,,,,,,,1,"Copenhagen Bird Ringing Centre (CBRC) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of CBRC. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and CBRC notified.",false,true,false,false,?,true,?,true,"Copenhagen Bird Ringing Centre (CBRC) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of CBRC. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and CBRC notified."
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the An Atlas of Breeding Birds of the Burren and Aran Islands 1993 - 1996 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the An Atlas of Breeding Birds of the Burren and Aran Islands 1993 - 1996 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Anisopodidae and Thaumaleidae (Diptera: Nematocera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Anisopodidae and Thaumaleidae (Diptera: Nematocera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the BSBI tetrad data for Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the BSBI tetrad data for Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the BioMar - LIFE project dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the BioMar - LIFE project dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Bryophyte data for Ireland from the British Bryological Society held by the UK's Biological Records Centre. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Bryophyte data for Ireland from the British Bryological Society held by the UK's Biological Records Centre. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies - Irish Wood White Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies - Irish Wood White Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies of County Waterford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies of County Waterford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Caddisfly Records, Edenvale, Co. Wexford 2010 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Caddisfly Records, Edenvale, Co. Wexford 2010 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Centipedes of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Centipedes of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Craneflies of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Craneflies of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the CréBeo Earthworm Records 2006/7 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the CréBeo Earthworm Records 2006/7 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Distribution Atlas of Butterflies in Ireland 1979 (An Foras Forbartha) dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Distribution Atlas of Butterflies in Ireland 1979 (An Foras Forbartha) dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Dixidae (Diptera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Dixidae (Diptera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the ESAS cetacean sightings from 1980 to 2003. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the ESAS cetacean sightings from 1980 to 2003. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ephemeroptera of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ephemeroptera of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the European Seabirds at Sea (ESAS) bird sightings from 1980 to 2003. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the European Seabirds at Sea (ESAS) bird sightings from 1980 to 2003. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Fleas (Siphonaptera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Fleas (Siphonaptera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Harvestmen (Opiliones) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Harvestmen (Opiliones) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hedgerow Surveys of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hedgerow Surveys of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
